            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460152.104166667, A.D. 2023-Jul-26 14:30:00.0000, -2.918826392596276E+05, -2.543320003964285E+05, -7.285958968066261E+03,
2460152.125000000, A.D. 2023-Jul-26 15:00:00.0000, -2.905962221928698E+05, -2.556114787124830E+05, -7.439372215367883E+03,
2460152.145833333, A.D. 2023-Jul-26 15:30:00.0000, -2.893032082337005E+05, -2.568851815100194E+05, -7.592616864499985E+03,
2460152.166666667, A.D. 2023-Jul-26 16:00:00.0000, -2.880036201615497E+05, -2.581530749288040E+05, -7.745689280083214E+03,
2460152.187500000, A.D. 2023-Jul-26 16:30:00.0000, -2.866974809405391E+05, -2.594151251677341E+05, -7.898585823560657E+03,
2460152.208333333, A.D. 2023-Jul-26 17:00:00.0000, -2.853848137197510E+05, -2.606712984857922E+05, -8.051302853262794E+03,
2460152.229166667, A.D. 2023-Jul-26 17:30:00.0000, -2.840656418334926E+05, -2.619215612030084E+05, -8.203836724473003E+03,
2460152.250000000, A.D. 2023-Jul-26 18:00:00.0000, -2.827399888015572E+05, -2.631658797014291E+05, -8.356183789493705E+03,
2460152.270833333, A.D. 2023-Jul-26 18:30:00.0000, -2.814078783294812E+05, -2.644042204260928E+05, -8.508340397713357E+03,
2460152.291666667, A.D. 2023-Jul-26 19:00:00.0000, -2.800693343087970E+05, -2.656365498860133E+05, -8.660302895673973E+03,
2460152.312500000, A.D. 2023-Jul-26 19:30:00.0000, -2.787243808172831E+05, -2.668628346551692E+05, -8.812067627139593E+03,
2460152.333333333, A.D. 2023-Jul-26 20:00:00.0000, -2.773730421192087E+05, -2.680830413735015E+05, -8.963630933165405E+03,
2460152.354166667, A.D. 2023-Jul-26 20:30:00.0000, -2.760153426655750E+05, -2.692971367479175E+05, -9.114989152167254E+03,
2460152.375000000, A.D. 2023-Jul-26 21:00:00.0000, -2.746513070943523E+05, -2.705050875533019E+05, -9.266138619992533E+03,
2460152.395833333, A.D. 2023-Jul-26 21:30:00.0000, -2.732809602307122E+05, -2.717068606335352E+05, -9.417075669991245E+03,
2460152.416666667, A.D. 2023-Jul-26 22:00:00.0000, -2.719043270872558E+05, -2.729024229025193E+05, -9.567796633088015E+03,
2460152.437500000, A.D. 2023-Jul-26 22:30:00.0000, -2.705214328642378E+05, -2.740917413452100E+05, -9.718297837855003E+03,
2460152.458333333, A.D. 2023-Jul-26 23:00:00.0000, -2.691323029497846E+05, -2.752747830186565E+05, -9.868575610585132E+03,
2460152.479166667, A.D. 2023-Jul-26 23:30:00.0000, -2.677369629201092E+05, -2.764515150530486E+05, -1.001862627536668E+04,
2460152.500000000, A.D. 2023-Jul-27 00:00:00.0000, -2.663354385397204E+05, -2.776219046527706E+05, -1.016844615415808E+04,
2460152.520833333, A.D. 2023-Jul-27 00:30:00.0000, -2.649277557616277E+05, -2.787859190974591E+05, -1.031803156686357E+04,
2460152.541666667, A.D. 2023-Jul-27 01:00:00.0000, -2.635139407275408E+05, -2.799435257430774E+05, -1.046737883141014E+04,
2460152.562500000, A.D. 2023-Jul-27 01:30:00.0000, -2.620940197680633E+05, -2.810946920229931E+05, -1.061648426382504E+04,
2460152.583333333, A.D. 2023-Jul-27 02:00:00.0000, -2.606680194028821E+05, -2.822393854490555E+05, -1.076534417831359E+04,
2460152.604166667, A.D. 2023-Jul-27 02:30:00.0000, -2.592359663409520E+05, -2.833775736126853E+05, -1.091395488733806E+04,
2460152.625000000, A.D. 2023-Jul-27 03:00:00.0000, -2.577978874806732E+05, -2.845092241859725E+05, -1.106231270169724E+04,
2460152.645833333, A.D. 2023-Jul-27 03:30:00.0000, -2.563538099100650E+05, -2.856343049227810E+05, -1.121041393060706E+04,
2460152.666666667, A.D. 2023-Jul-27 04:00:00.0000, -2.549037609069325E+05, -2.867527836598592E+05, -1.135825488178201E+04,
2460152.687500000, A.D. 2023-Jul-27 04:30:00.0000, -2.534477679390286E+05, -2.878646283179600E+05, -1.150583186151688E+04,
2460152.708333333, A.D. 2023-Jul-27 05:00:00.0000, -2.519858586642095E+05, -2.889698069029661E+05, -1.165314117477015E+04,
2460152.729166667, A.D. 2023-Jul-27 05:30:00.0000, -2.505180609305846E+05, -2.900682875070235E+05, -1.180017912524720E+04,
2460152.750000000, A.D. 2023-Jul-27 06:00:00.0000, -2.490444027766600E+05, -2.911600383096814E+05, -1.194694201548523E+04,
2460152.770833333, A.D. 2023-Jul-27 06:30:00.0000, -2.475649124314762E+05, -2.922450275790403E+05, -1.209342614693844E+04,
2460152.791666667, A.D. 2023-Jul-27 07:00:00.0000, -2.460796183147394E+05, -2.933232236729061E+05, -1.223962782006412E+04,
2460152.812500000, A.D. 2023-Jul-27 07:30:00.0000, -2.445885490369465E+05, -2.943945950399524E+05, -1.238554333440983E+04,
2460152.833333333, A.D. 2023-Jul-27 08:00:00.0000, -2.430917333995030E+05, -2.954591102208890E+05, -1.253116898870117E+04,
2460152.854166667, A.D. 2023-Jul-27 08:30:00.0000, -2.415892003948356E+05, -2.965167378496383E+05, -1.267650108093026E+04,
2460152.875000000, A.D. 2023-Jul-27 09:00:00.0000, -2.400809792064966E+05, -2.975674466545186E+05, -1.282153590844548E+04,
2460152.895833333, A.D. 2023-Jul-27 09:30:00.0000, -2.385670992092627E+05, -2.986112054594340E+05, -1.296626976804166E+04,
2460152.916666667, A.D. 2023-Jul-27 10:00:00.0000, -2.370475899692259E+05, -2.996479831850722E+05, -1.311069895605135E+04,
2460152.937500000, A.D. 2023-Jul-27 10:30:00.0000, -2.355224812438780E+05, -3.006777488501090E+05, -1.325481976843682E+04,
2460152.958333333, A.D. 2023-Jul-27 11:00:00.0000, -2.339918029821879E+05, -3.017004715724196E+05, -1.339862850088284E+04,
2460152.979166667, A.D. 2023-Jul-27 11:30:00.0000, -2.324555853246709E+05, -3.027161205702978E+05, -1.354212144889055E+04,
2460153.000000000, A.D. 2023-Jul-27 12:00:00.0000, -2.309138586034519E+05, -3.037246651636805E+05, -1.368529490787213E+04,
2460153.020833333, A.D. 2023-Jul-27 12:30:00.0000, -2.293666533423197E+05, -3.047260747753818E+05, -1.382814517324600E+04,
2460153.041666667, A.D. 2023-Jul-27 13:00:00.0000, -2.278140002567745E+05, -3.057203189323316E+05, -1.397066854053331E+04,
2460153.062500000, A.D. 2023-Jul-27 13:30:00.0000, -2.262559302540680E+05, -3.067073672668226E+05, -1.411286130545515E+04,
2460153.083333333, A.D. 2023-Jul-27 14:00:00.0000, -2.246924744332340E+05, -3.076871895177635E+05, -1.425471976403060E+04,
2460153.104166667, A.D. 2023-Jul-27 14:30:00.0000, -2.231236640851134E+05, -3.086597555319398E+05, -1.439624021267556E+04,
2460153.125000000, A.D. 2023-Jul-27 15:00:00.0000, -2.215495306923689E+05, -3.096250352652811E+05, -1.453741894830263E+04,
2460153.145833333, A.D. 2023-Jul-27 15:30:00.0000, -2.199701059294928E+05, -3.105829987841347E+05, -1.467825226842189E+04,
2460153.166666667, A.D. 2023-Jul-27 16:00:00.0000, -2.183854216628063E+05, -3.115336162665472E+05, -1.481873647124230E+04,
2460153.187500000, A.D. 2023-Jul-27 16:30:00.0000, -2.167955099504497E+05, -3.124768580035518E+05, -1.495886785577427E+04,
2460153.208333333, A.D. 2023-Jul-27 17:00:00.0000, -2.152004030423651E+05, -3.134126944004631E+05, -1.509864272193289E+04,
2460153.229166667, A.D. 2023-Jul-27 17:30:00.0000, -2.136001333802688E+05, -3.143410959781776E+05, -1.523805737064235E+04,
2460153.250000000, A.D. 2023-Jul-27 18:00:00.0000, -2.119947335976170E+05, -3.152620333744826E+05, -1.537710810394085E+04,
2460153.270833333, A.D. 2023-Jul-27 18:30:00.0000, -2.103842365195607E+05, -3.161754773453695E+05, -1.551579122508664E+04,
2460153.291666667, A.D. 2023-Jul-27 19:00:00.0000, -2.087686751628925E+05, -3.170813987663559E+05, -1.565410303866505E+04,
2460153.312500000, A.D. 2023-Jul-27 19:30:00.0000, -2.071480827359843E+05, -3.179797686338124E+05, -1.579203985069612E+04,
2460153.333333333, A.D. 2023-Jul-27 20:00:00.0000, -2.055224926387146E+05, -3.188705580662969E+05, -1.592959796874346E+04,
2460153.354166667, A.D. 2023-Jul-27 20:30:00.0000, -2.038919384623883E+05, -3.197537383058954E+05, -1.606677370202365E+04,
2460153.375000000, A.D. 2023-Jul-27 21:00:00.0000, -2.022564539896449E+05, -3.206292807195685E+05, -1.620356336151691E+04,
2460153.395833333, A.D. 2023-Jul-27 21:30:00.0000, -2.006160731943583E+05, -3.214971568005051E+05, -1.633996326007824E+04,
2460153.416666667, A.D. 2023-Jul-27 22:00:00.0000, -1.989708302415267E+05, -3.223573381694814E+05, -1.647596971255001E+04,
2460153.437500000, A.D. 2023-Jul-27 22:30:00.0000, -1.973207594871522E+05, -3.232097965762274E+05, -1.661157903587491E+04,
2460153.458333333, A.D. 2023-Jul-27 23:00:00.0000, -1.956658954781104E+05, -3.240545039007982E+05, -1.674678754921020E+04,
2460153.479166667, A.D. 2023-Jul-27 23:30:00.0000, -1.940062729520103E+05, -3.248914321549523E+05, -1.688159157404269E+04,
2460153.500000000, A.D. 2023-Jul-28 00:00:00.0000, -1.923419268370432E+05, -3.257205534835364E+05, -1.701598743430433E+04,
2460153.520833333, A.D. 2023-Jul-28 00:30:00.0000, -1.906728922518219E+05, -3.265418401658743E+05, -1.714997145648960E+04,
2460153.541666667, A.D. 2023-Jul-28 01:00:00.0000, -1.889992045052090E+05, -3.273552646171644E+05, -1.728353996977265E+04,
2460153.562500000, A.D. 2023-Jul-28 01:30:00.0000, -1.873208990961343E+05, -3.281607993898810E+05, -1.741668930612625E+04,
2460153.583333333, A.D. 2023-Jul-28 02:00:00.0000, -1.856380117134021E+05, -3.289584171751817E+05, -1.754941580044117E+04,
2460153.604166667, A.D. 2023-Jul-28 02:30:00.0000, -1.839505782354870E+05, -3.297480908043220E+05, -1.768171579064670E+04,
2460153.625000000, A.D. 2023-Jul-28 03:00:00.0000, -1.822586347303191E+05, -3.305297932500735E+05, -1.781358561783186E+04,
2460153.645833333, A.D. 2023-Jul-28 03:30:00.0000, -1.805622174550573E+05, -3.313034976281492E+05, -1.794502162636768E+04,
2460153.666666667, A.D. 2023-Jul-28 04:00:00.0000, -1.788613628558525E+05, -3.320691771986339E+05, -1.807602016403030E+04,
2460153.687500000, A.D. 2023-Jul-28 04:30:00.0000, -1.771561075675981E+05, -3.328268053674197E+05, -1.820657758212512E+04,
2460153.708333333, A.D. 2023-Jul-28 05:00:00.0000, -1.754464884136704E+05, -3.335763556876472E+05, -1.833669023561171E+04,
2460153.729166667, A.D. 2023-Jul-28 05:30:00.0000, -1.737325424056559E+05, -3.343178018611522E+05, -1.846635448322931E+04,
2460153.750000000, A.D. 2023-Jul-28 06:00:00.0000, -1.720143067430674E+05, -3.350511177399168E+05, -1.859556668762406E+04,
2460153.770833333, A.D. 2023-Jul-28 06:30:00.0000, -1.702918188130491E+05, -3.357762773275267E+05, -1.872432321547643E+04,
2460153.791666667, A.D. 2023-Jul-28 07:00:00.0000, -1.685651161900682E+05, -3.364932547806325E+05, -1.885262043762945E+04,
2460153.812500000, A.D. 2023-Jul-28 07:30:00.0000, -1.668342366355951E+05, -3.372020244104168E+05, -1.898045472921869E+04,
2460153.833333333, A.D. 2023-Jul-28 08:00:00.0000, -1.650992180977716E+05, -3.379025606840654E+05, -1.910782246980206E+04,
2460153.854166667, A.D. 2023-Jul-28 08:30:00.0000, -1.633600987110661E+05, -3.385948382262437E+05, -1.923472004349138E+04,
2460153.875000000, A.D. 2023-Jul-28 09:00:00.0000, -1.616169167959165E+05, -3.392788318205781E+05, -1.936114383908415E+04,
2460153.895833333, A.D. 2023-Jul-28 09:30:00.0000, -1.598697108583610E+05, -3.399545164111410E+05, -1.948709025019675E+04,
2460153.916666667, A.D. 2023-Jul-28 10:00:00.0000, -1.581185195896550E+05, -3.406218671039410E+05, -1.961255567539812E+04,
2460153.937500000, A.D. 2023-Jul-28 10:30:00.0000, -1.563633818658765E+05, -3.412808591684173E+05, -1.973753651834468E+04,
2460153.958333333, A.D. 2023-Jul-28 11:00:00.0000, -1.546043367475172E+05, -3.419314680389385E+05, -1.986202918791586E+04,
2460153.979166667, A.D. 2023-Jul-28 11:30:00.0000, -1.528414234790617E+05, -3.425736693163049E+05, -1.998603009835033E+04,
2460154.000000000, A.D. 2023-Jul-28 12:00:00.0000, -1.510746814885523E+05, -3.432074387692560E+05, -2.010953566938378E+04,
2460154.020833333, A.D. 2023-Jul-28 12:30:00.0000, -1.493041503871415E+05, -3.438327523359809E+05, -2.023254232638677E+04,
2460154.041666667, A.D. 2023-Jul-28 13:00:00.0000, -1.475298699686303E+05, -3.444495861256327E+05, -2.035504650050406E+04,
2460154.062500000, A.D. 2023-Jul-28 13:30:00.0000, -1.457518802089930E+05, -3.450579164198474E+05, -2.047704462879431E+04,
2460154.083333333, A.D. 2023-Jul-28 14:00:00.0000, -1.439702212658887E+05, -3.456577196742653E+05, -2.059853315437102E+04,
2460154.104166667, A.D. 2023-Jul-28 14:30:00.0000, -1.421849334781589E+05, -3.462489725200566E+05, -2.071950852654412E+04,
2460154.125000000, A.D. 2023-Jul-28 15:00:00.0000, -1.403960573653106E+05, -3.468316517654504E+05, -2.083996720096240E+04,
2460154.145833333, A.D. 2023-Jul-28 15:30:00.0000, -1.386036336269857E+05, -3.474057343972662E+05, -2.095990563975699E+04,
2460154.166666667, A.D. 2023-Jul-28 16:00:00.0000, -1.368077031424168E+05, -3.479711975824493E+05, -2.107932031168522E+04,
2460154.187500000, A.D. 2023-Jul-28 16:30:00.0000, -1.350083069698678E+05, -3.485280186696088E+05, -2.119820769227589E+04,
2460154.208333333, A.D. 2023-Jul-28 17:00:00.0000, -1.332054863460604E+05, -3.490761751905588E+05, -2.131656426397487E+04,
2460154.229166667, A.D. 2023-Jul-28 17:30:00.0000, -1.313992826855865E+05, -3.496156448618615E+05, -2.143438651629176E+04,
2460154.250000000, A.D. 2023-Jul-28 18:00:00.0000, -1.295897375803056E+05, -3.501464055863740E+05, -2.155167094594754E+04,
2460154.270833333, A.D. 2023-Jul-28 18:30:00.0000, -1.277768927987275E+05, -3.506684354547969E+05, -2.166841405702241E+04,
2460154.291666667, A.D. 2023-Jul-28 19:00:00.0000, -1.259607902853803E+05, -3.511817127472250E+05, -2.178461236110516E+04,
2460154.312500000, A.D. 2023-Jul-28 19:30:00.0000, -1.241414721601633E+05, -3.516862159347009E+05, -2.190026237744289E+04,
2460154.333333333, A.D. 2023-Jul-28 20:00:00.0000, -1.223189807176851E+05, -3.521819236807701E+05, -2.201536063309164E+04,
2460154.354166667, A.D. 2023-Jul-28 20:30:00.0000, -1.204933584265863E+05, -3.526688148430378E+05, -2.212990366306769E+04,
2460154.375000000, A.D. 2023-Jul-28 21:00:00.0000, -1.186646479288473E+05, -3.531468684747284E+05, -2.224388801049987E+04,
2460154.395833333, A.D. 2023-Jul-28 21:30:00.0000, -1.168328920390799E+05, -3.536160638262457E+05, -2.235731022678240E+04,
2460154.416666667, A.D. 2023-Jul-28 22:00:00.0000, -1.149981337438048E+05, -3.540763803467344E+05, -2.247016687172878E+04,
2460154.437500000, A.D. 2023-Jul-28 22:30:00.0000, -1.131604162007122E+05, -3.545277976856437E+05, -2.258245451372584E+04,
2460154.458333333, A.D. 2023-Jul-28 23:00:00.0000, -1.113197827379077E+05, -3.549702956942919E+05, -2.269416972988939E+04,
2460154.479166667, A.D. 2023-Jul-28 23:30:00.0000, -1.094762768531418E+05, -3.554038544274311E+05, -2.280530910621969E+04,
2460154.500000000, A.D. 2023-Jul-29 00:00:00.0000, -1.076299422130243E+05, -3.558284541448137E+05, -2.291586923775854E+04,
2460154.520833333, A.D. 2023-Jul-29 00:30:00.0000, -1.057808226522215E+05, -3.562440753127590E+05, -2.302584672874626E+04,
2460154.541666667, A.D. 2023-Jul-29 01:00:00.0000, -1.039289621726389E+05, -3.566506986057207E+05, -2.313523819277993E+04,
2460154.562500000, A.D. 2023-Jul-29 01:30:00.0000, -1.020744049425867E+05, -3.570483049078544E+05, -2.324404025297225E+04,
2460154.583333333, A.D. 2023-Jul-29 02:00:00.0000, -1.002171952959296E+05, -3.574368753145853E+05, -2.335224954211072E+04,
2460154.604166667, A.D. 2023-Jul-29 02:30:00.0000, -9.835737773121953E+04, -3.578163911341759E+05, -2.345986270281805E+04,
2460154.625000000, A.D. 2023-Jul-29 03:00:00.0000, -9.649499691081351E+04, -3.581868338892940E+05, -2.356687638771282E+04,
2460154.645833333, A.D. 2023-Jul-29 03:30:00.0000, -9.463009765997322E+04, -3.585481853185792E+05, -2.367328725957101E+04,
2460154.666666667, A.D. 2023-Jul-29 04:00:00.0000, -9.276272496594940E+04, -3.589004273782101E+05, -2.377909199148798E+04,
2460154.687500000, A.D. 2023-Jul-29 04:30:00.0000, -9.089292397704883E+04, -3.592435422434701E+05, -2.388428726704131E+04,
2460154.708333333, A.D. 2023-Jul-29 05:00:00.0000, -8.902074000168504E+04, -3.595775123103127E+05, -2.398886978045425E+04,
2460154.729166667, A.D. 2023-Jul-29 05:30:00.0000, -8.714621850741186E+04, -3.599023201969248E+05, -2.409283623675955E+04,
2460154.750000000, A.D. 2023-Jul-29 06:00:00.0000, -8.526940511994038E+04, -3.602179487452904E+05, -2.419618335196424E+04,
2460154.770833333, A.D. 2023-Jul-29 06:30:00.0000, -8.339034562213878E+04, -3.605243810227512E+05, -2.429890785321456E+04,
2460154.791666667, A.D. 2023-Jul-29 07:00:00.0000, -8.150908595301532E+04, -3.608216003235659E+05, -2.440100647896207E+04,
2460154.812500000, A.D. 2023-Jul-29 07:30:00.0000, -7.962567220668404E+04, -3.611095901704695E+05, -2.450247597912957E+04,
2460154.833333333, A.D. 2023-Jul-29 08:00:00.0000, -7.774015063131346E+04, -3.613883343162274E+05, -2.460331311527849E+04,
2460154.854166667, A.D. 2023-Jul-29 08:30:00.0000, -7.585256762805794E+04, -3.616578167451899E+05, -2.470351466077589E+04,
2460154.875000000, A.D. 2023-Jul-29 09:00:00.0000, -7.396296974997192E+04, -3.619180216748432E+05, -2.480307740096269E+04,
2460154.895833333, A.D. 2023-Jul-29 09:30:00.0000, -7.207140370090664E+04, -3.621689335573578E+05, -2.490199813332205E+04,
2460154.916666667, A.D. 2023-Jul-29 10:00:00.0000, -7.017791633438953E+04, -3.624105370811344E+05, -2.500027366764835E+04,
2460154.937500000, A.D. 2023-Jul-29 10:30:00.0000, -6.828255465248626E+04, -3.626428171723469E+05, -2.509790082621695E+04,
2460154.958333333, A.D. 2023-Jul-29 11:00:00.0000, -6.638536580464500E+04, -3.628657589964808E+05, -2.519487644395368E+04,
2460154.979166667, A.D. 2023-Jul-29 11:30:00.0000, -6.448639708652342E+04, -3.630793479598713E+05, -2.529119736860564E+04,
2460155.000000000, A.D. 2023-Jul-29 12:00:00.0000, -6.258569593879779E+04, -3.632835697112333E+05, -2.538686046091202E+04,
2460155.020833333, A.D. 2023-Jul-29 12:30:00.0000, -6.068330994595472E+04, -3.634784101431920E+05, -2.548186259477529E+04,
2460155.041666667, A.D. 2023-Jul-29 13:00:00.0000, -5.877928683506496E+04, -3.636638553938067E+05, -2.557620065743302E+04,
2460155.062500000, A.D. 2023-Jul-29 13:30:00.0000, -5.687367447453950E+04, -3.638398918480909E+05, -2.566987154963010E+04,
2460155.083333333, A.D. 2023-Jul-29 14:00:00.0000, -5.496652087286799E+04, -3.640065061395287E+05, -2.576287218579100E+04,
2460155.104166667, A.D. 2023-Jul-29 14:30:00.0000, -5.305787417733925E+04, -3.641636851515853E+05, -2.585519949419324E+04,
2460155.125000000, A.D. 2023-Jul-29 15:00:00.0000, -5.114778267274390E+04, -3.643114160192136E+05, -2.594685041713991E+04,
2460155.145833333, A.D. 2023-Jul-29 15:30:00.0000, -4.923629478005919E+04, -3.644496861303554E+05, -2.603782191113384E+04,
2460155.166666667, A.D. 2023-Jul-29 16:00:00.0000, -4.732345905511588E+04, -3.645784831274368E+05, -2.612811094705139E+04,
2460155.187500000, A.D. 2023-Jul-29 16:30:00.0000, -4.540932418724711E+04, -3.646977949088586E+05, -2.621771451031670E+04,
2460155.208333333, A.D. 2023-Jul-29 17:00:00.0000, -4.349393899791943E+04, -3.648076096304806E+05, -2.630662960107611E+04,
2460155.229166667, A.D. 2023-Jul-29 17:30:00.0000, -4.157735243934580E+04, -3.649079157071000E+05, -2.639485323437321E+04,
2460155.250000000, A.D. 2023-Jul-29 18:00:00.0000, -3.965961359308048E+04, -3.649987018139232E+05, -2.648238244032374E+04,
2460155.270833333, A.D. 2023-Jul-29 18:30:00.0000, -3.774077166859613E+04, -3.650799568880319E+05, -2.656921426429103E+04,
2460155.291666667, A.D. 2023-Jul-29 19:00:00.0000, -3.582087600184271E+04, -3.651516701298417E+05, -2.665534576706150E+04,
2460155.312500000, A.D. 2023-Jul-29 19:30:00.0000, -3.389997605378833E+04, -3.652138310045538E+05, -2.674077402502041E+04,
2460155.333333333, A.D. 2023-Jul-29 20:00:00.0000, -3.197812140894229E+04, -3.652664292436008E+05, -2.682549613032797E+04,
2460155.354166667, A.D. 2023-Jul-29 20:30:00.0000, -3.005536177385979E+04, -3.653094548460824E+05, -2.690950919109517E+04,
2460155.375000000, A.D. 2023-Jul-29 21:00:00.0000, -2.813174697562882E+04, -3.653428980801972E+05, -2.699281033156037E+04,
2460155.395833333, A.D. 2023-Jul-29 21:30:00.0000, -2.620732696033892E+04, -3.653667494846630E+05, -2.707539669226549E+04,
2460155.416666667, A.D. 2023-Jul-29 22:00:00.0000, -2.428215179153196E+04, -3.653809998701310E+05, -2.715726543023268E+04,
2460155.437500000, A.D. 2023-Jul-29 22:30:00.0000, -2.235627164863482E+04, -3.653856403205916E+05, -2.723841371914079E+04,
2460155.458333333, A.D. 2023-Jul-29 23:00:00.0000, -2.042973682537421E+04, -3.653806621947706E+05, -2.731883874950238E+04,
2460155.479166667, A.D. 2023-Jul-29 23:30:00.0000, -1.850259772817347E+04, -3.653660571275180E+05, -2.739853772884003E+04,
2460155.500000000, A.D. 2023-Jul-30 00:00:00.0000, -1.657490487453122E+04, -3.653418170311863E+05, -2.747750788186358E+04,
2460155.520833333, A.D. 2023-Jul-30 00:30:00.0000, -1.464670889138246E+04, -3.653079340970001E+05, -2.755574645064669E+04,
2460155.541666667, A.D. 2023-Jul-30 01:00:00.0000, -1.271806051344135E+04, -3.652644007964167E+05, -2.763325069480369E+04,
2460155.562500000, A.D. 2023-Jul-30 01:30:00.0000, -1.078901058152649E+04, -3.652112098824761E+05, -2.771001789166649E+04,
2460155.583333333, A.D. 2023-Jul-30 02:00:00.0000, -8.859610040867959E+03, -3.651483543911407E+05, -2.778604533646119E+04,
2460155.604166667, A.D. 2023-Jul-30 02:30:00.0000, -6.929909939396997E+03, -3.650758276426266E+05, -2.786133034248478E+04,
2460155.625000000, A.D. 2023-Jul-30 03:00:00.0000, -4.999961426017582E+03, -3.649936232427214E+05, -2.793587024128194E+04,
2460155.645833333, A.D. 2023-Jul-30 03:30:00.0000, -3.069815748860445E+03, -3.649017350840941E+05, -2.800966238282133E+04,
2460155.666666667, A.D. 2023-Jul-30 04:00:00.0000, -1.139524253519324E+03, -3.648001573475925E+05, -2.808270413567197E+04,
2460155.687500000, A.D. 2023-Jul-30 04:30:00.0000,  7.908616187301068E+02, -3.646888845035288E+05, -2.815499288717960E+04,
2460155.708333333, A.D. 2023-Jul-30 05:00:00.0000,  2.721290332729362E+03, -3.645679113129554E+05, -2.822652604364255E+04,
2460155.729166667, A.D. 2023-Jul-30 05:30:00.0000,  4.651710261253310E+03, -3.644372328289278E+05, -2.829730103048778E+04,
2460155.750000000, A.D. 2023-Jul-30 06:00:00.0000,  6.582069686843931E+03, -3.642968443977550E+05, -2.836731529244647E+04,
2460155.770833333, A.D. 2023-Jul-30 06:30:00.0000,  8.512316803661533E+03, -3.641467416602394E+05, -2.843656629372924E+04,
2460155.791666667, A.D. 2023-Jul-30 07:00:00.0000,  1.044239971935318E+04, -3.639869205529023E+05, -2.850505151820164E+04,
2460155.812500000, A.D. 2023-Jul-30 07:30:00.0000,  1.237226645693816E+04, -3.638173773091977E+05, -2.857276846955872E+04,
2460155.833333333, A.D. 2023-Jul-30 08:00:00.0000,  1.430186495671101E+04, -3.636381084607131E+05, -2.863971467149981E+04,
2460155.854166667, A.D. 2023-Jul-30 08:30:00.0000,  1.623114307816112E+04, -3.634491108383565E+05, -2.870588766790259E+04,
2460155.875000000, A.D. 2023-Jul-30 09:00:00.0000,  1.816004860190968E+04, -3.632503815735306E+05, -2.877128502299705E+04,
2460155.895833333, A.D. 2023-Jul-30 09:30:00.0000,  2.008852923166332E+04, -3.630419180992924E+05, -2.883590432153901E+04,
2460155.916666667, A.D. 2023-Jul-30 10:00:00.0000,  2.201653259618460E+04, -3.628237181514999E+05, -2.889974316898317E+04,
2460155.937500000, A.D. 2023-Jul-30 10:30:00.0000,  2.394400625127894E+04, -3.625957797699433E+05, -2.896279919165593E+04,
2460155.958333333, A.D. 2023-Jul-30 11:00:00.0000,  2.587089768179877E+04, -3.623581012994626E+05, -2.902507003692756E+04,
2460155.979166667, A.D. 2023-Jul-30 11:30:00.0000,  2.779715430366338E+04, -3.621106813910507E+05, -2.908655337338388E+04,
2460156.000000000, A.D. 2023-Jul-30 12:00:00.0000,  2.972272346589559E+04, -3.618535190029404E+05, -2.914724689099779E+04,
2460156.020833333, A.D. 2023-Jul-30 12:30:00.0000,  3.164755245267467E+04, -3.615866134016770E+05, -2.920714830129982E+04,
2460156.041666667, A.D. 2023-Jul-30 13:00:00.0000,  3.357158848540518E+04, -3.613099641631753E+05, -2.926625533754850E+04,
2460156.062500000, A.D. 2023-Jul-30 13:30:00.0000,  3.549477872480211E+04, -3.610235711737613E+05, -2.932456575489997E+04,
2460156.083333333, A.D. 2023-Jul-30 14:00:00.0000,  3.741707027299159E+04, -3.607274346311965E+05, -2.938207733057706E+04,
2460156.104166667, A.D. 2023-Jul-30 14:30:00.0000,  3.933841017562758E+04, -3.604215550456877E+05, -2.943878786403776E+04,
2460156.125000000, A.D. 2023-Jul-30 15:00:00.0000,  4.125874542402423E+04, -3.601059332408793E+05, -2.949469517714321E+04,
2460156.145833333, A.D. 2023-Jul-30 15:30:00.0000,  4.317802295730353E+04, -3.597805703548298E+05, -2.954979711432442E+04,
2460156.166666667, A.D. 2023-Jul-30 16:00:00.0000,  4.509618966455835E+04, -3.594454678409698E+05, -2.960409154274937E+04,
2460156.187500000, A.D. 2023-Jul-30 16:30:00.0000,  4.701319238703083E+04, -3.591006274690450E+05, -2.965757635248829E+04,
2460156.208333333, A.D. 2023-Jul-30 17:00:00.0000,  4.892897792030572E+04, -3.587460513260398E+05, -2.971024945667895E+04,
2460156.229166667, A.D. 2023-Jul-30 17:30:00.0000,  5.084349301651873E+04, -3.583817418170845E+05, -2.976210879169074E+04,
2460156.250000000, A.D. 2023-Jul-30 18:00:00.0000,  5.275668438657925E+04, -3.580077016663442E+05, -2.981315231728839E+04,
2460156.270833333, A.D. 2023-Jul-30 18:30:00.0000,  5.466849870240823E+04, -3.576239339178897E+05, -2.986337801679439E+04,
2460156.291666667, A.D. 2023-Jul-30 19:00:00.0000,  5.657888259918999E+04, -3.572304419365497E+05, -2.991278389725104E+04,
2460156.312500000, A.D. 2023-Jul-30 19:30:00.0000,  5.848778267763853E+04, -3.568272294087454E+05, -2.996136798958131E+04,
2460156.333333333, A.D. 2023-Jul-30 20:00:00.0000,  6.039514550627783E+04, -3.564143003433046E+05, -3.000912834874893E+04,
2460156.354166667, A.D. 2023-Jul-30 20:30:00.0000,  6.230091762373615E+04, -3.559916590722589E+05, -3.005606305391765E+04,
